ind,subject,predicate,object,qualifier,qualifier value,reference,reference value
0,仙居县,replaced,永安县,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_40676
0,仙居县,replaced,永安县,,,stated in,《宋史》
1,仙居县,dynasty,北宋,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_40676
1,仙居县,dynasty,北宋,,,stated in,《宋史》
2,仙居县,dynasty,蒙古,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_40676
2,仙居县,dynasty,蒙古,,,stated in,《元史》
3,仙居县,dynasty,明,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_40676
3,仙居县,dynasty,明,,,stated in,《明史》
4,仙居县,dynasty,清,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_40676
4,仙居县,dynasty,清,,,stated in,《清史稿》
5,仙居县,located in the present-day administrative territorial entity,浙江省,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_40676
5,仙居县,located in the present-day administrative territorial entity,浙江省,,,stated in,《明史》
6,仙居县,located in the administrative territorial entity,台州,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_40676
6,仙居县,located in the administrative territorial entity,台州,,,stated in,《宋史》
7,仙居县,located in the administrative territorial entity,台州路,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_40676
7,仙居县,located in the administrative territorial entity,台州路,,,stated in,《元史》
8,仙居县,located in the administrative territorial entity,台州府,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_40676
8,仙居县,located in the administrative territorial entity,台州府,,,stated in,《明史》
9,仙居县,start time,1007年,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_40676
9,仙居县,start time,1007年,,,stated in,《宋史》
10,仙居县,end time,1911年,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_40676
10,仙居县,end time,1911年,,,stated in,《清史稿》
